Climate change,Commodity,Freshwater acidification,Freshwater ecotoxicity,Land occupation,Land transformation,Marine acidification,Other,Terrestrial acidification,Terrestrial ecotoxicity,Thermally polluted water,Water availability freshwater,Water availability terrestrial,Source,Reference product
10371.008184874687,Red Lake,19.447521325996956,242.96263945460453,826.503976155692,14705.290340657526,4042.798881942734,106.73794517426731,136.39326785525597,11.925807142650122,0.3627900195639658,0.4465669738367213,0.11471865008351725,MetalliCan,Doré
38309.090397140455,Seabee Gold Operation,250.5993115215879,1785.7858168899136,320.7336061766839,4013.6872912555987,11934.230349049662,1045.7580751676383,1695.9735394170207,46.784187250079924,2.8671800296178307,0.13419555489367596,3.0403001287491027,MetalliCan,Doré
770.3444861411506,Snow Lake (Doré),37.35295214527559,208.61732857213457,89.68512066460211,689.871994137665,229.5453351725628,29.475058611373488,429.9548974174604,8.740152879228168,1.6327238553363774,0.04977491764894815,0.04462602868186665,MetalliCan,Doré
12545.770655928378,Timmins Operation,124.18716463115487,2485.5180136847944,363.8816134835545,3316.0559692903857,3913.5552618622337,1007.4770631179586,916.1514494430617,79.53245686017709,0.754018355527278,0.14084862330415593,0.3273737494097192,MetalliCan,Doré
8838.916177649018,Westwood-Doyon,74.7439733495243,1135.4954540644308,1836.5871631385185,15344.5312331419,2563.357041827058,201.87697701897415,513.1570826980064,91.75687536827112,11.279474751922944,0.16713470154843435,0.5076696294839564,MetalliCan,Doré
15881.40580995716,Eleonore,133.58354263718323,1111.1922656674678,1044.9400972010565,2007.245269674459,4983.64537500646,974.3800914534436,986.7203459830578,60.980542375346076,10.311049315540357,0.24428170906722357,0.26509386767276144,MetalliCan,Doré
0.8160382103771082,Nunavik Nickel,0.0260911820385508,0.10960615312659858,0.023155021282387864,0.13548141856820634,0.24568415192023962,0.2211939166688502,0.20090313978745777,0.005354355145115292,6.484598626267115e-05,1.7815788508964846e-06,3.8156480149352907e-05,MetalliCan,Ni concentrate
0.3641475085210788,Thompson,0.009825190440817764,0.1144737199488228,0.06673478728004208,1.2236956424598808,0.10922255462600489,0.07492372978824383,0.08579465560408528,0.004462196994362932,2.103505221921416e-05,5.950894841576227e-07,1.392641991438052e-05,MetalliCan,Ni concentrate
1.336127530570785,Voisey's Bay,0.19108550062632004,0.13588128098974533,0.03190530814394182,0.49671012880124266,0.4066863247540024,1.767180323333396,1.7190156418434208,0.003095907363420817,3.2045211677968227e-05,8.905230159962619e-07,2.131898893749053e-05,MetalliCan,Ni concentrate
0.7871733525943092,Raglan,0.0715000895706234,0.07797820662957121,0.014911917331440558,0.16221982197315524,0.24984942259791473,0.7725009237395769,0.5782377978713308,0.0011781614344688433,2.6682445887685044e-05,6.049565154099513e-07,1.250208433955739e-05,MetalliCan,Ni concentrate
8.609852545007742,Gibraltar (Mo),0.17128724291458486,3.2421959752583236,0.7295501913866883,5.070070659404089,2.368558297636202,0.5673884311710865,1.2000417278525126,0.21098681506343148,0.0029642271884551905,0.0002039422469282716,0.0009435174039474615,MetalliCan,Mo concentrate
3.6961958520098825,Highland Valley (Mo),0.05617650950516222,1.0428971075400133,0.47554806194238913,6.828823917662349,1.0634750066924752,0.23364794772829997,0.3978995916605089,0.06451898999518133,0.00045821451222833036,0.00011270650176145851,0.00029193561388696026,MetalliCan,Mo concentrate
0.07335682521816442,Kidd Creek (Zn),0.0029287367479518007,0.012626293117206007,0.00835320016281108,0.1312780683569667,0.023067350276891527,0.02876859858898849,0.023263018136518838,0.000519392232205113,3.2503014446093887e-06,3.6750137225359465e-07,1.254505213385265e-06,MetalliCan,Zn concentrate
0.26958270505208903,LaRonde (Zn),0.00510821177757888,0.04955275276920415,0.0659505383216039,0.21706478700581008,0.08077381133246377,0.018264063606095806,0.03937226274961826,0.0023377393511021575,0.0006118079429109656,1.4744557751983182e-05,1.214220944297906e-05,MetalliCan,Zn concentrate
0.038363400603736095,Snow Lake (Zn),0.0018601888407844941,0.010389209278666621,0.004466347533797057,0.0343558433352376,0.011431430751296748,0.0014678672722554728,0.021411889919494283,0.00043526239138654466,8.131016841717153e-05,2.478806776331599e-06,2.2223904205618133e-06,MetalliCan,Zn concentrate
5.113954007419521,Key Lake + McArthur River,0.11279144724128543,0.5168874277276583,0.6860658227591464,13.58888361571742,1.5791723902689987,0.6753419652424089,1.0797150291083495,0.01239276201958206,0.0001195801380599916,6.347415638554362e-06,5.343957259673881e-05,MetalliCan,U concentrate
2.6686142406955353,Cigar Lake + McClean Lake,0.13210033723268821,0.23483416731468987,0.25478026028390477,5.036976289623329,0.8032643267569965,0.5685697959619759,1.0406791165757208,0.004429374612648735,5.159673976118724e-05,2.3417865091707765e-06,2.3516041395539113e-05,MetalliCan,U concentrate
