technosphere_id,year,flow_type,subflow_type,unit,value,comment,main_id,facility_group_id,company_id,source_id,value_MJ,unit_source,assumption_note,unit_standard,needs_factor,site_id,activity_name,mining_processing_type,archetypes,concentrate,mass_conc,allocation_factor,facility_type,value_normalized,functional_unit,normalization_key
TECH-6b4800fe-2023.0-3.0,2023.0,Energy,Gasoline,GJ,38791.0,,BC-MAIN-6b4800fe,,CMP-e35f138c,TasekoMinesLimited_ESG_2023,38791000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,BC-MAIN-6b4800fe,Open-pit mining and beneficiation at Gibraltar,"Open-pit, concentrator","Porphyry sulfide, flotation-based",Cu,185367.93066666668,0.9997556641309961,mining,209.21376112809602,Cu concentrate,concentrate_economic
TECH-6b4800fe-2023.0-3.0,2023.0,Energy,Gasoline,GJ,38791.0,,BC-MAIN-6b4800fe,,CMP-e35f138c,TasekoMinesLimited_ESG_2023,38791000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,BC-MAIN-6b4800fe,Open-pit mining and beneficiation at Gibraltar,"Open-pit, concentrator","Porphyry sulfide, flotation-based",Mo,10.690540862745097,0.0002443358690038284,mining,886.5812138239895,Mo concentrate,concentrate_economic
TECH-6b4800fe-2023.0-4.0,2023.0,Energy,Natural gas,GJ,186977.0,,BC-MAIN-6b4800fe,,CMP-e35f138c,TasekoMinesLimited_ESG_2023,186977000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,BC-MAIN-6b4800fe,Open-pit mining and beneficiation at Gibraltar,"Open-pit, concentrator","Porphyry sulfide, flotation-based",Cu,185367.93066666668,0.9997556641309961,mining,1008.4339515466994,Cu concentrate,concentrate_economic
TECH-6b4800fe-2023.0-4.0,2023.0,Energy,Natural gas,GJ,186977.0,,BC-MAIN-6b4800fe,,CMP-e35f138c,TasekoMinesLimited_ESG_2023,186977000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,BC-MAIN-6b4800fe,Open-pit mining and beneficiation at Gibraltar,"Open-pit, concentrator","Porphyry sulfide, flotation-based",Mo,10.690540862745097,0.0002443358690038284,mining,4273.4215569892,Mo concentrate,concentrate_economic
TECH-6b4800fe-2023.0-5.0,2023.0,Energy,Propane,GJ,453.0,,BC-MAIN-6b4800fe,,CMP-e35f138c,TasekoMinesLimited_ESG_2023,453000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,BC-MAIN-6b4800fe,Open-pit mining and beneficiation at Gibraltar,"Open-pit, concentrator","Porphyry sulfide, flotation-based",Cu,185367.93066666668,0.9997556641309961,mining,2.443191301874855,Cu concentrate,concentrate_economic
TECH-6b4800fe-2023.0-5.0,2023.0,Energy,Propane,GJ,453.0,,BC-MAIN-6b4800fe,,CMP-e35f138c,TasekoMinesLimited_ESG_2023,453000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,BC-MAIN-6b4800fe,Open-pit mining and beneficiation at Gibraltar,"Open-pit, concentrator","Porphyry sulfide, flotation-based",Mo,10.690540862745097,0.0002443358690038284,mining,10.353465748814601,Mo concentrate,concentrate_economic
TECH-c0660aec-2023.0-1.0,2023.0,Energy,Diesel,GJ,129455.0,,QC-MAIN-c0660aec,,CMP-6265c407,AgnicoEagleMinesLimited_2023-Sustainability-Performance_data,129455000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,QC-MAIN-c0660aec,Underground mining and beneficiation at Goldex,"Underground, concentrator",Free-miling,Cu,130.12252666666666,0.003859237362487364,mining,3839.439531024593,Cu concentrate,concentrate_economic
TECH-c0660aec-2023.0-1.0,2023.0,Energy,Diesel,GJ,129455.0,,QC-MAIN-c0660aec,,CMP-6265c407,AgnicoEagleMinesLimited_2023-Sustainability-Performance_data,129455000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,QC-MAIN-c0660aec,Underground mining and beneficiation at Goldex,"Underground, concentrator",Free-miling,Au,4.474542118316694,0.9961407626375127,mining,28819798.54415847,Doré,concentrate_economic
TECH-c0660aec-2023.0-2.0,2023.0,Energy,Electricity consumption|Grid electricity,kWh,178921745.0,,QC-MAIN-c0660aec,,CMP-6265c407,AgnicoEagleMinesLimited_2023-Sustainability-Performance_data,644118282.0,direct_unit,kwh→MJ factor=3.6,MJ,False,QC-MAIN-c0660aec,Underground mining and beneficiation at Goldex,"Underground, concentrator",Free-miling,Cu,130.12252666666666,0.003859237362487364,mining,19103.57417300565,Cu concentrate,concentrate_economic
TECH-c0660aec-2023.0-2.0,2023.0,Energy,Electricity consumption|Grid electricity,kWh,178921745.0,,QC-MAIN-c0660aec,,CMP-6265c407,AgnicoEagleMinesLimited_2023-Sustainability-Performance_data,644118282.0,direct_unit,kwh→MJ factor=3.6,MJ,False,QC-MAIN-c0660aec,Underground mining and beneficiation at Goldex,"Underground, concentrator",Free-miling,Au,4.474542118316694,0.9961407626375127,mining,143396231.32246307,Doré,concentrate_economic
TECH-c0660aec-2023.0-3.0,2023.0,Energy,Explosives,GJ,11047.0,,QC-MAIN-c0660aec,,CMP-6265c407,AgnicoEagleMinesLimited_2023-Sustainability-Performance_data,11047000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,QC-MAIN-c0660aec,Underground mining and beneficiation at Goldex,"Underground, concentrator",Free-miling,Cu,130.12252666666666,0.003859237362487364,mining,327.63731411864103,Cu concentrate,concentrate_economic
TECH-c0660aec-2023.0-3.0,2023.0,Energy,Explosives,GJ,11047.0,,QC-MAIN-c0660aec,,CMP-6265c407,AgnicoEagleMinesLimited_2023-Sustainability-Performance_data,11047000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,QC-MAIN-c0660aec,Underground mining and beneficiation at Goldex,"Underground, concentrator",Free-miling,Au,4.474542118316694,0.9961407626375127,mining,2459328.0639397367,Doré,concentrate_economic
TECH-c0660aec-2023.0-4.0,2023.0,Energy,Light Fuel & Gasoline,GJ,1347.0,,QC-MAIN-c0660aec,,CMP-6265c407,AgnicoEagleMinesLimited_2023-Sustainability-Performance_data,1347000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,QC-MAIN-c0660aec,Underground mining and beneficiation at Goldex,"Underground, concentrator",Free-miling,Cu,130.12252666666666,0.003859237362487364,mining,39.9499829924694,Cu concentrate,concentrate_economic
TECH-c0660aec-2023.0-4.0,2023.0,Energy,Light Fuel & Gasoline,GJ,1347.0,,QC-MAIN-c0660aec,,CMP-6265c407,AgnicoEagleMinesLimited_2023-Sustainability-Performance_data,1347000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,QC-MAIN-c0660aec,Underground mining and beneficiation at Goldex,"Underground, concentrator",Free-miling,Au,4.474542118316694,0.9961407626375127,mining,299874.6177357496,Doré,concentrate_economic
TECH-c0660aec-2023.0-5.0,2023.0,Energy,Natural gas,GJ,86234.0,,QC-MAIN-c0660aec,,CMP-6265c407,AgnicoEagleMinesLimited_2023-Sustainability-Performance_data,86234000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,QC-MAIN-c0660aec,Underground mining and beneficiation at Goldex,"Underground, concentrator",Free-miling,Cu,130.12252666666666,0.003859237362487364,mining,2557.570032199411,Cu concentrate,concentrate_economic
TECH-c0660aec-2023.0-5.0,2023.0,Energy,Natural gas,GJ,86234.0,,QC-MAIN-c0660aec,,CMP-6265c407,AgnicoEagleMinesLimited_2023-Sustainability-Performance_data,86234000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,QC-MAIN-c0660aec,Underground mining and beneficiation at Goldex,"Underground, concentrator",Free-miling,Au,4.474542118316694,0.9961407626375127,mining,19197763.760820065,Doré,concentrate_economic
TECH-6e9be24e-2023.0-1.0,2023.0,Energy,Electricity consumption|Non-renewable electricity use,GJ,619000.0,,ON-MAIN-6e9be24e,,CMP-79bcdb91,BarrickGoldCorporation_Barrick_2023_Performance-Data,619000000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,ON-MAIN-6e9be24e,Open-pit and underground mining and beneficiation at Hemlo (Williams),"Open-pit, underground, concentrator",Free-miling,Au,4.476523630102041,1.0,mining,138276942.36607662,Doré,concentrate_economic
