site_id,flow_type,functional_unit,normalization_key,allocation_factor,unit,activity_name,mining_processing_type,archetypes,npv,operation_periods,data_source,value_formula,parameter_distribution,value_normalized,reference_mass_unit
ON-MAIN-aeafbb59,transformation_from,Doré,land_concentrate_economic,1.0,m2,Open-pit mining and beneficiation at Detour Lake,"Open-pit, concentrator",Au–Ag free-milling,Cool Evergreen Needleleaf Forest,1983–open,MetalliCan,,,21.402960682487166,kg
ON-MAIN-aeafbb59,transformation_to,Doré,land_concentrate_economic,1.0,m2,Open-pit mining and beneficiation at Detour Lake,"Open-pit, concentrator",Au–Ag free-milling,Cool Evergreen Needleleaf Forest,1983–open,MetalliCan,,,21.402960682487166,kg
ON-MAIN-aeafbb59,occupation,Doré,land_concentrate_economic,1.0,m2*year,Open-pit mining and beneficiation at Detour Lake,"Open-pit, concentrator",Au–Ag free-milling,Cool Evergreen Needleleaf Forest,1983–open,MetalliCan,,,428.05921364974336,kg
ON-MAIN-cb85213a,transformation_from,Doré,land_concentrate_economic,1.0,m2,Underground mining and beneficiation at Eagle River,"Underground, concentrator",Au–Ag free-milling,Cool Mixed Forest,1983–open,MetalliCan,,,6.355873732553692,kg
ON-MAIN-cb85213a,transformation_to,Doré,land_concentrate_economic,1.0,m2,Underground mining and beneficiation at Eagle River,"Underground, concentrator",Au–Ag free-milling,Cool Mixed Forest,1983–open,MetalliCan,,,6.355873732553692,kg
ON-MAIN-cb85213a,occupation,Doré,land_concentrate_economic,1.0,m2*year,Underground mining and beneficiation at Eagle River,"Underground, concentrator",Au–Ag free-milling,Cool Mixed Forest,1983–open,MetalliCan,,,127.11747465107386,kg
ON-MAIN-ed85ac94,transformation_from,Ni concentrate,land_concentrate_economic,1.0,m2,and beneficiation at Strathcona,Concentrator,Ni–Cu sulfide,Cool Mixed Forest,1962–1991; 2007–2009; 2010–open,MetalliCan,,,0.001104703527967201,kg
ON-MAIN-ed85ac94,transformation_to,Ni concentrate,land_concentrate_economic,1.0,m2,and beneficiation at Strathcona,Concentrator,Ni–Cu sulfide,Cool Mixed Forest,1962–1991; 2007–2009; 2010–open,MetalliCan,,,0.001104703527967201,kg
ON-MAIN-ed85ac94,occupation,Ni concentrate,land_concentrate_economic,1.0,m2*year,and beneficiation at Strathcona,Concentrator,Ni–Cu sulfide,Cool Mixed Forest,1962–1991; 2007–2009; 2010–open,MetalliCan,,,0.022094070559344023,kg
ON-MAIN-f080c409,transformation_from,Ni concentrate,land_concentrate_economic,1.0,m2,Underground mining at Copper Cliff Complex (mine),Underground,Ni–Cu sulfide,Cool Mixed Forest,,MetalliCan,,,0.01973831512997372,kg
ON-MAIN-f080c409,transformation_to,Ni concentrate,land_concentrate_economic,1.0,m2,Underground mining at Copper Cliff Complex (mine),Underground,Ni–Cu sulfide,Cool Mixed Forest,,MetalliCan,,,0.01973831512997372,kg
ON-MAIN-f080c409,occupation,Ni concentrate,land_concentrate_economic,1.0,m2*year,Underground mining at Copper Cliff Complex (mine),Underground,Ni–Cu sulfide,Cool Mixed Forest,,MetalliCan,,,0.3947663025994743,kg
ON-MAIN-f8313ebd,transformation_from,Cu concentrate,land_concentrate_economic,0.7230258878971872,m2,Underground mining and beneficiation at Kidd Creek,"Underground, concentrator",Cu polymetallic,Cool Mixed Forest,1963–open,MetalliCan,,,0.002016596081359753,kg
ON-MAIN-f8313ebd,transformation_to,Cu concentrate,land_concentrate_economic,0.7230258878971872,m2,Underground mining and beneficiation at Kidd Creek,"Underground, concentrator",Cu polymetallic,Cool Mixed Forest,1963–open,MetalliCan,,,0.002016596081359753,kg
ON-MAIN-f8313ebd,occupation,Cu concentrate,land_concentrate_economic,0.7230258878971872,m2*year,Underground mining and beneficiation at Kidd Creek,"Underground, concentrator",Cu polymetallic,Cool Mixed Forest,1963–open,MetalliCan,,,0.040331921627195066,kg
ON-MAIN-f8313ebd,transformation_from,Zn concentrate,land_concentrate_economic,0.2769741121028128,m2,Underground mining and beneficiation at Kidd Creek,"Underground, concentrator",Cu polymetallic,Cool Mixed Forest,1963–open,MetalliCan,,,0.0007538312452620713,kg
ON-MAIN-f8313ebd,transformation_to,Zn concentrate,land_concentrate_economic,0.2769741121028128,m2,Underground mining and beneficiation at Kidd Creek,"Underground, concentrator",Cu polymetallic,Cool Mixed Forest,1963–open,MetalliCan,,,0.0007538312452620713,kg
