site_id,activity_name,mining_processing_type,archetypes,flow_type,subflow_type,value,unit,data_source,value_formula,parameter_distribution,Stream,concentrate,mass_conc,allocation_factor,facility_type,value_normalized,functional_unit,normalization_key,reference_mass_unit
BC-MAIN-857b7b89,Underground mining and beneficiation at Brucejack,"Underground, concentrator",Au–Ag free-milling,Materials,Grinding media,174462.72561167955,kg,Archetype inference | MetalliCan,ore_processed_t * 1.050980274769154,,,Au,0.920409693877551,1.0,mining,189.5489875565018,Doré,concentrate_economic,kg
BC-MAIN-857b7b89,Underground mining and beneficiation at Brucejack,"Underground, concentrator",Au–Ag free-milling,Materials,Hydrochloric acid (HCL),10991.525291828782,kg,Archetype inference | MetalliCan,ore_processed_t * 0.0662140077821011,,,Au,0.920409693877551,1.0,mining,11.941992098674124,Doré,concentrate_economic,kg
BC-MAIN-857b7b89,Underground mining and beneficiation at Brucejack,"Underground, concentrator",Au–Ag free-milling,Materials,Lime,310948.6856911051,kg,Archetype inference | MetalliCan,ore_processed_t * 1.873184853560874,,,Au,0.920409693877551,1.0,mining,337.83725634301385,Doré,concentrate_economic,kg
BC-MAIN-857b7b89,Underground mining and beneficiation at Brucejack,"Underground, concentrator",Au–Ag free-milling,Materials,Sulfur dioxide,86531.91489361688,kg,Archetype inference | MetalliCan,ore_processed_t * 0.52127659574468,,,Au,0.920409693877551,1.0,mining,94.01456272051048,Doré,concentrate_economic,kg
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,"Open-pit, concentrator",Au–Ag free-milling,Materials,Acids,218886.69980780367,kg,Archetype inference | MetalliCan,ore_processed_t * 0.01262839454492922,,,Au,29.039084533163262,1.0,mining,7.537658411987139,Doré,concentrate_economic,kg
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,"Open-pit, concentrator",Au–Ag free-milling,Materials,Activated carbon,1012482.7466150856,kg,Archetype inference | MetalliCan,ore_processed_t * 0.0584139264990328,,,Au,29.039084533163262,1.0,mining,34.866207488697114,Doré,concentrate_economic,kg
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,"Open-pit, concentrator",Au–Ag free-milling,Materials,Anti-scalant,525370.325594806,kg,Archetype inference | MetalliCan,ore_processed_t * 0.03031058424122945,,,Au,29.039084533163262,1.0,mining,18.091834988627884,Doré,concentrate_economic,kg
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,"Open-pit, concentrator",Au–Ag free-milling,Materials,Cyanide,7476517.528775867,kg,Archetype inference | MetalliCan,ore_processed_t * 0.4313483334454054,,,Au,29.039084533163262,1.0,mining,257.46395414902014,Doré,concentrate_economic,kg
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,"Open-pit, concentrator",Au–Ag free-milling,Materials,Flocculant,534664.765056759,kg,Archetype inference | MetalliCan,ore_processed_t * 0.03084681530827265,,,Au,29.039084533163262,1.0,mining,18.411901533815925,Doré,concentrate_economic,kg
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,"Open-pit, concentrator",Au–Ag free-milling,Materials,Grinding media,18216536.004546266,kg,Archetype inference | MetalliCan,ore_processed_t * 1.050980274769154,,,Au,29.039084533163262,1.0,mining,627.3109602936205,Doré,concentrate_economic,kg
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,"Open-pit, concentrator",Au–Ag free-milling,Materials,Hydrochloric acid (HCL),1147680.77548638,kg,Archetype inference | MetalliCan,ore_processed_t * 0.0662140077821011,,,Au,29.039084533163262,1.0,mining,39.52193376398294,Doré,concentrate_economic,kg
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,"Open-pit, concentrator",Au–Ag free-milling,Materials,Lime,32467725.74828527,kg,Archetype inference | MetalliCan,ore_processed_t * 1.873184853560874,,,Au,29.039084533163262,1.0,mining,1118.0698796205654,Doré,concentrate_economic,kg
QC-MAIN-e7e6a960,Open-pit mining and beneficiation at Canadian Malartic,"Open-pit, concentrator",Au–Ag free-milling,Materials,Sulfur dioxide,9035235.106382964,kg,Archetype inference | MetalliCan,ore_processed_t * 0.52127659574468,,,Au,29.039084533163262,1.0,mining,311.14049398026066,Doré,concentrate_economic,kg
ON-MAIN-f080c409,Underground mining at Copper Cliff Complex (mine),Underground,Ni–Cu sulfide,Materials,Lime,6514314.0479999995,kg,Archetype inference | Argonne (2022),ore_processed_t * 8.708976,,,Ni,54693.75,1.0,mining,0.11910527341789509,Ni concentrate,concentrate_economic,kg
ON-MAIN-f080c409,Underground mining at Copper Cliff Complex (mine),Underground,Ni–Cu sulfide,Materials,Soda ash,1425006.198,kg,Archetype inference | Argonne (2022),ore_processed_t * 1.9050885000000002,,,Ni,54693.75,1.0,mining,0.026054278560164554,Ni concentrate,concentrate_economic,kg
ON-MAIN-f080c409,Underground mining at Copper Cliff Complex (mine),Underground,Ni–Cu sulfide,Materials,Grinding media,5903597.106,kg,Archetype inference | Argonne (2022),ore_processed_t * 7.8925095,,,Ni,54693.75,1.0,mining,0.10793915403496743,Ni concentrate,concentrate_economic,kg
ON-MAIN-f080c409,Underground mining at Copper Cliff Complex (mine),Underground,Ni–Cu sulfide,Materials,Sulfuric acid,135714.87600000002,kg,Archetype inference | Argonne (2022),ore_processed_t * 0.18143700000000001,,,Ni,54693.75,1.0,mining,0.0024813598628728147,Ni concentrate,concentrate_economic,kg
ON-MAIN-f080c409,Underground mining at Copper Cliff Complex (mine),Underground,Ni–Cu sulfide,Materials,Ammonia,67857.43800000001,kg,Archetype inference | Argonne (2022),ore_processed_t * 0.09071850000000001,,,Ni,54693.75,1.0,mining,0.0012406799314364073,Ni concentrate,concentrate_economic,kg
