site_id,activity_name,functional_unit,Amount,Activity,Product,Unit,Location,Database
BC-MAIN-8eb8be0d,"Au and Cu, OP mining and beneficiation at Red Chris",Ore processed,1.5196555092186132e-06,consumption market for propane,propane,kilogram,CA,Regioinvent
ON-MAIN-7f050560,"Au, UG mining and beneficiation at Red Lake",Ore processed,0.0002952423816853929,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-ON,ecoinvent-3.10-cutoff regionalized
ON-MAIN-7f050560,"Au, UG mining and beneficiation at Red Lake",Ore processed,3.0943211569560044e-06,consumption market for diesel,diesel,kilogram,CA,Regioinvent
ON-MAIN-7f050560,"Au, UG mining and beneficiation at Red Lake",Ore processed,1.331126760827415e-07,consumption market for diesel,diesel,kilogram,CA,Regioinvent
ON-MAIN-7f050560,"Au, UG mining and beneficiation at Red Lake",Ore processed,1.742643615999997e-05,consumption market for liquefied petroleum gas,liquefied petroleum gas,kilogram,CA,Regioinvent
ON-MAIN-7f050560,"Au, UG mining and beneficiation at Red Lake",Ore processed,1.0378371257161386e-05,"consumption market for natural gas, high pressure","natural gas, high pressure",cubic meter,CA,Regioinvent
NL-MAIN-b64bae7a,"Fe, OP mining and beneficiation at Scully",Ore processed,2.8220538280637573e-06,consumption market for diesel,diesel,kilogram,CA,Regioinvent
NL-MAIN-b64bae7a,"Fe, OP mining and beneficiation at Scully",Ore processed,7.591861524445793e-08,consumption market for diesel,diesel,kilogram,CA,Regioinvent
NL-MAIN-b64bae7a,"Fe, OP mining and beneficiation at Scully",Ore processed,0.000297191011235955,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
NL-MAIN-b64bae7a,"Fe, OP mining and beneficiation at Scully",Ore processed,6.053855094924449e-09,consumption market for propane,propane,kilogram,CA,Regioinvent
NL-MAIN-b64bae7a,"Fe, OP mining and beneficiation at Scully",Ore processed,9.620794213483146e-05,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-NF,ecoinvent-3.10-cutoff regionalized
QC-MAIN-02884fb5,"Au, UG mining and beneficiation at Westwood-Doyon",Ore processed,0.0001412924781746615,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-QC,ecoinvent-3.10-cutoff regionalized
QC-MAIN-02884fb5,"Au, UG mining and beneficiation at Westwood-Doyon",Ore processed,6.437221427970734e-07,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
QC-MAIN-02884fb5,"Au, UG mining and beneficiation at Westwood-Doyon",Ore processed,4.654446493635014e-06,consumption market for diesel,diesel,kilogram,CA,Regioinvent
QC-MAIN-02884fb5,"Au, UG mining and beneficiation at Westwood-Doyon",Ore processed,1.7915230005886806e-06,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
QC-MAIN-02884fb5,"Au, UG mining and beneficiation at Westwood-Doyon",Ore processed,7.298691341244532e-08,consumption market for diesel,diesel,kilogram,CA,Regioinvent
QC-MAIN-02884fb5,"Au, UG mining and beneficiation at Westwood-Doyon",Ore processed,1.7572506374186739e-06,"consumption market for natural gas, high pressure","natural gas, high pressure",cubic meter,CA,Regioinvent
QC-MAIN-02884fb5,"Au, UG mining and beneficiation at Westwood-Doyon",Ore processed,6.878209831254569e-10,consumption market for propane,propane,kilogram,CA,Regioinvent
ON-MAIN-7607a50e,"Au, UG mining and beneficiation at Young-Davidson",Ore processed,1.65042474983904e-07,consumption market for diesel,diesel,kilogram,CA,Regioinvent
ON-MAIN-7607a50e,"Au, UG mining and beneficiation at Young-Davidson",Ore processed,9.272769275275908e-05,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-ON,ecoinvent-3.10-cutoff regionalized
ON-MAIN-7607a50e,"Au, UG mining and beneficiation at Young-Davidson",Ore processed,1.1320661319581372e-06,consumption market for diesel,diesel,kilogram,CA,Regioinvent
ON-MAIN-7607a50e,"Au, UG mining and beneficiation at Young-Davidson",Ore processed,1.6621631904495596e-08,consumption market for diesel,diesel,kilogram,CA,Regioinvent
ON-MAIN-7607a50e,"Au, UG mining and beneficiation at Young-Davidson",Ore processed,4.909292984634331e-08,consumption market for naphtha,naphtha,kilogram,CA,Regioinvent
