main_id,facility_group_id,Amount,Activity,Product,Unit,Location,Database
BC-MAIN-aa76f6f2,,5.486986504523207e-07,"consumption market for natural gas, high pressure","natural gas, high pressure",cubic meter,CA,Regioinvent
BC-MAIN-aa76f6f2,,5.523656620914664e-09,consumption market for propane,propane,kilogram,CA,Regioinvent
,GRP-0d911886,2.463802158556765e-10,consumption market for biogas,biogas,cubic meter,CA,Regioinvent
,GRP-0d911886,4.9772863845717535e-06,consumption market for diesel,diesel,kg,CA,Regioinvent
,GRP-0d911886,3.126948892473899e-05,consumption market for diesel,diesel,kg,CA,Regioinvent
,GRP-0d911886,1.3304494678464106e-07,consumption market for diesel,diesel,kg,CA,Regioinvent
,GRP-0d911886,1.6269108553761592e-06,"consumption market for natural gas, high pressure","natural gas, high pressure",cubic meter,CA,Regioinvent
,GRP-0d911886,4.690930115184377e-08,consumption market for propane,propane,kilogram,CA,Regioinvent
,GRP-0d911886,6.908353173534868e-05,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-ON,ecoinvent-3.10-cutoff regionalized
ON-MAIN-0aadf28f,,9.252574722911914e-05,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-ON,ecoinvent-3.10-cutoff regionalized
ON-MAIN-0aadf28f,,4.340685790166962e-06,consumption market for diesel,diesel,kg,CA,Regioinvent
ON-MAIN-0aadf28f,,2.2524915563669557e-06,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
ON-MAIN-0aadf28f,,2.2524915563669557e-06,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
ON-MAIN-0aadf28f,,1.0082684029876526e-07,consumption market for diesel,diesel,kg,CA,Regioinvent
ON-MAIN-0aadf28f,,2.2966393457413953e-07,consumption market for propane,propane,kilogram,CA,Regioinvent
BC-MAIN-8eb8be0d,,4.853877699736613e-06,consumption market for diesel,diesel,kg,CA,Regioinvent
BC-MAIN-8eb8be0d,,1.7559262510973998e-09,consumption market for acetylene,acetylene,kilogram,CA,Regioinvent
BC-MAIN-8eb8be0d,,2.4662802146222613e-06,consumption market for kerosene,kerosene,kilogram,CA,Regioinvent
BC-MAIN-8eb8be0d,,2.7803129189456277e-05,consumption market for diesel,diesel,kg,CA,Regioinvent
BC-MAIN-8eb8be0d,,0.0003108441520991789,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-BC,ecoinvent-3.10-cutoff regionalized
BC-MAIN-8eb8be0d,,4.953523321389871e-07,consumption market for diesel,diesel,kg,CA,Regioinvent
BC-MAIN-8eb8be0d,,1.5196555092186132e-06,consumption market for propane,propane,kilogram,CA,Regioinvent
ON-MAIN-7f050560,,0.0002952423816853929,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-ON,ecoinvent-3.10-cutoff regionalized
