main_id,facility_group_id,Amount,Unit,Flow Name,Compartments,Database
,GRP-147b3123,1.3366594663278e-09,kilogram,Lead II,"('air',)",biosphere3
,GRP-147b3123,1.3366594663278e-09,kilogram,Lead II,"('air',)",biosphere3
,GRP-147b3123,1.3366594663278e-09,kilogram,Lead II,"('soil',)",biosphere3
,GRP-147b3123,1.3366594663278e-09,kilogram,Lead II,"('soil',)",biosphere3
,GRP-147b3123,1.3366594663278e-09,kilogram,Lead II,"('water',)",biosphere3
,GRP-147b3123,1.3366594663278e-09,kilogram,Lead II,"('water',)",biosphere3
,GRP-147b3123,5.09428208386277e-11,kilo Becquerel,Manganese-54,"('air',)",biosphere3
,GRP-147b3123,5.09428208386277e-11,kilo Becquerel,Manganese-54,"('air',)",biosphere3
,GRP-147b3123,5.09428208386277e-11,kilo Becquerel,Manganese-54,"('air',)",biosphere3
,GRP-147b3123,5.09428208386277e-11,kilo Becquerel,Manganese-54,"('air',)",biosphere3
,GRP-147b3123,5.09428208386277e-11,kilo Becquerel,Manganese-54,"('air',)",biosphere3
,GRP-147b3123,5.09428208386277e-08,kilogram,Manganese II,"('soil',)",biosphere3
,GRP-147b3123,5.09428208386277e-08,kilogram,Manganese,"('water',)",biosphere3
,GRP-147b3123,5.09428208386277e-08,kilogram,Manganese,"('water',)",biosphere3
,GRP-147b3123,3.1232528589580687e-09,kilogram,Nickel II,"('air',)",biosphere3
,GRP-147b3123,3.1232528589580687e-09,kilogram,Nickel II,"('air',)",biosphere3
,GRP-147b3123,3.1232528589580687e-09,kilogram,Nickel II,"('air',)",biosphere3
,GRP-147b3123,3.1232528589580687e-09,kilogram,Nickel II,"('air',)",biosphere3
,GRP-147b3123,3.1232528589580687e-09,kilogram,Nickel II,"('water',)",biosphere3
,GRP-147b3123,3.1232528589580687e-09,kilogram,Nickel II,"('water',)",biosphere3
,GRP-147b3123,6.233672172808131e-11,kilogram,Selenium IV,"('air',)",biosphere3
,GRP-147b3123,6.233672172808131e-11,kilogram,Selenium IV,"('air',)",biosphere3
,GRP-147b3123,6.233672172808131e-11,kilogram,Selenium IV,"('air',)",biosphere3
,GRP-147b3123,6.233672172808131e-11,kilogram,Selenium IV,"('air',)",biosphere3
,GRP-147b3123,6.233672172808131e-11,kilogram,Selenium IV,"('air',)",biosphere3
,GRP-147b3123,6.233672172808131e-11,kilogram,Selenium IV,"('soil',)",biosphere3
,GRP-147b3123,6.233672172808131e-11,kilogram,Selenium IV,"('soil',)",biosphere3
,GRP-147b3123,6.233672172808131e-11,kilogram,Selenium IV,"('water',)",biosphere3
,GRP-147b3123,6.233672172808131e-11,kilogram,Selenium IV,"('water',)",biosphere3
,GRP-147b3123,5.401524777636595e-09,kilogram,Zinc II,"('air',)",biosphere3
,GRP-147b3123,5.401524777636595e-09,kilogram,Zinc II,"('air',)",biosphere3
,GRP-147b3123,5.401524777636595e-09,kilogram,Zinc II,"('air',)",biosphere3
,GRP-147b3123,5.401524777636595e-09,kilogram,Zinc II,"('air',)",biosphere3
,GRP-147b3123,5.401524777636595e-09,kilogram,Zinc II,"('soil', 'industrial')",biosphere3
,GRP-147b3123,5.401524777636595e-09,kilogram,Zinc II,"('soil', 'industrial')",biosphere3
,GRP-147b3123,5.401524777636595e-09,kilogram,Zinc II,"('water',)",biosphere3
,GRP-147b3123,5.401524777636595e-09,kilogram,Zinc II,"('water',)",biosphere3
,GRP-147b3123,4.765501905972046e-08,kilogram,"Phosphorus, CA-ON","('air',)",biosphere3_spatialized_flows
