main_id,facility_group_id,substance_name,unit,value,site_id,activity_name,metal,mass_t,allocation_factor,value_normalized,Reference product,normalization_key
QC-MAIN-e7e6a960,,Vanadium (and its compounds),tonnes,0.173,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Ag,9.642085,0.3116705541703531,0.005592048386990063,Ag,metal_mass
QC-MAIN-e7e6a960,,Volatile Organic Compounds (Total),tonnes,27.5,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Au,21.29470024,0.688329445829647,0.8889094256776112,Au,metal_mass
QC-MAIN-e7e6a960,,Volatile Organic Compounds (Total),tonnes,27.5,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Ag,9.642085,0.3116705541703531,0.8889094256776112,Ag,metal_mass
QC-MAIN-e7e6a960,,Zinc (and its compounds),tonnes,0.126,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Au,21.29470024,0.688329445829647,0.004072821368559237,Au,metal_mass
QC-MAIN-e7e6a960,,Zinc (and its compounds),tonnes,0.126,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Ag,9.642085,0.3116705541703531,0.004072821368559237,Ag,metal_mass
NU-MAIN-8b0264c9,,Arsenic (and its compounds),kg,10.450041,NU-MAIN-8b0264c9,"Au and Ag, OP and UG mining and beneficiation at Meliadine",Au,11.3260595934999,0.9309711843043807,0.8589648469960984,Au,metal_mass
NU-MAIN-8b0264c9,,Arsenic (and its compounds),kg,10.450041,NU-MAIN-8b0264c9,"Au and Ag, OP and UG mining and beneficiation at Meliadine",Ag,0.8397945,0.06902881569561928,0.8589648469960984,Ag,metal_mass
NU-MAIN-8b0264c9,,Cadmium (and its compounds),kg,0.004496,NU-MAIN-8b0264c9,"Au and Ag, OP and UG mining and beneficiation at Meliadine",Au,11.3260595934999,0.9309711843043807,0.0003695589282467369,Au,metal_mass
NU-MAIN-8b0264c9,,Cadmium (and its compounds),kg,0.004496,NU-MAIN-8b0264c9,"Au and Ag, OP and UG mining and beneficiation at Meliadine",Ag,0.8397945,0.06902881569561928,0.0003695589282467369,Ag,metal_mass
NU-MAIN-8b0264c9,,Carbon monoxide,tonnes,139.139712,NU-MAIN-8b0264c9,"Au and Ag, OP and UG mining and beneficiation at Meliadine",Au,11.3260595934999,0.9309711843043807,11.436904546992803,Au,metal_mass
NU-MAIN-8b0264c9,,Carbon monoxide,tonnes,139.139712,NU-MAIN-8b0264c9,"Au and Ag, OP and UG mining and beneficiation at Meliadine",Ag,0.8397945,0.06902881569561928,11.436904546992801,Ag,metal_mass
NU-MAIN-8b0264c9,,Cobalt (and its compounds),kg,1.081616,NU-MAIN-8b0264c9,"Au and Ag, OP and UG mining and beneficiation at Meliadine",Au,11.3260595934999,0.9309711843043807,0.08890588294806996,Au,metal_mass
NU-MAIN-8b0264c9,,Cobalt (and its compounds),kg,1.081616,NU-MAIN-8b0264c9,"Au and Ag, OP and UG mining and beneficiation at Meliadine",Ag,0.8397945,0.06902881569561928,0.08890588294806996,Ag,metal_mass
NU-MAIN-8b0264c9,,Copper (and its compounds),tonnes,0.002539,NU-MAIN-8b0264c9,"Au and Ag, OP and UG mining and beneficiation at Meliadine",Au,11.3260595934999,0.9309711843043807,0.00020869886984396462,Au,metal_mass
NU-MAIN-8b0264c9,,Copper (and its compounds),tonnes,0.002539,NU-MAIN-8b0264c9,"Au and Ag, OP and UG mining and beneficiation at Meliadine",Ag,0.8397945,0.06902881569561928,0.00020869886984396462,Ag,metal_mass
NU-MAIN-8b0264c9,,Cyanides (ionic),tonnes,3.518127,NU-MAIN-8b0264c9,"Au and Ag, OP and UG mining and beneficiation at Meliadine",Au,11.3260595934999,0.9309711843043807,0.2891804367339652,Au,metal_mass
NU-MAIN-8b0264c9,,Cyanides (ionic),tonnes,3.518127,NU-MAIN-8b0264c9,"Au and Ag, OP and UG mining and beneficiation at Meliadine",Ag,0.8397945,0.06902881569561928,0.2891804367339652,Ag,metal_mass
NU-MAIN-8b0264c9,,Hydrogen sulphide,tonnes,69.569856,NU-MAIN-8b0264c9,"Au and Ag, OP and UG mining and beneficiation at Meliadine",Au,11.3260595934999,0.9309711843043807,5.718452273496402,Au,metal_mass
