activity_name,functional_unit,site_id,subflow_type,value_normalized,unit,province
"Au and Ag and Cu and Zn, Underground mining and beneficiation at Snow Lake",Ore processed,GRP-a13779f8,Propane,3.097641632303538e-05,MJ,Manitoba
"Au and Ag, Underground mining and beneficiation at Westwood-Doyon",Ore processed,QC-MAIN-02884fb5,Propane,3.19148936170212e-08,MJ,Quebec
"Au, Underground mining and beneficiation at Musselwhite",Ore processed,ON-MAIN-fefeaee4,Solar,1.4428015564202335e-06,MJ,Ontario
"Au, Underground mining and beneficiation at Brucejack",Ore processed,BC-MAIN-857b7b89,Used oil,1.412062891566265e-05,MJ,British Columbia
"Au and Cu, Underground mining and beneficiation at New Afton",Ore processed,BC-MAIN-aa76f6f2,2'' balls,3.197389885807e-10,t,British Columbia
"Au, Open-pit and underground mining and beneficiation at Rainy River",Ore processed,ON-MAIN-0aadf28f,2.5'' balls,6.819968051117999e-10,t,Ontario
"Au and Cu, Underground mining and beneficiation at New Afton",Ore processed,BC-MAIN-aa76f6f2,3/4'' balls,5.840130505709624e-11,t,British Columbia
"Au, Open-pit and underground mining and beneficiation at Rainy River",Ore processed,ON-MAIN-0aadf28f,5.5'' balls,3.217012779552e-10,t,Ontario
"Au and Cu, Underground mining and beneficiation at New Afton",Ore processed,BC-MAIN-aa76f6f2,Anti-scalant,1.2398042414355629e-11,t,British Columbia
"Au, Open-pit and underground mining and beneficiation at Rainy River",Ore processed,ON-MAIN-0aadf28f,Anti-scalant,2.6385191693290737e-11,t,Ontario
"Au and Ag, Underground mining and beneficiation at Westwood-Doyon",Ore processed,QC-MAIN-02884fb5,Anti-scalant,3.423597678916828e-11,t,Quebec
"Au and Ag, Underground mining and beneficiation at Westwood-Doyon",Ore processed,QC-MAIN-02884fb5,Carbon,5.841392649903288e-11,t,Quebec
"Au, Open-pit and underground mining and beneficiation at Rainy River",Ore processed,ON-MAIN-0aadf28f,Caustic soda,6.004221816522137e-11,t,Ontario
"Au and Ag, Underground mining and beneficiation at Westwood-Doyon",Ore processed,QC-MAIN-02884fb5,Caustic soda,8.375241779497098e-11,t,Quebec
"Au and Ag, Underground mining and beneficiation at Éléonore",Ore processed,QC-MAIN-6dc537e6,Cement,1.64804334738109e-08,t,Quebec
