env_id,year,compartment_name,substance_id,flow_direction,release_pathway,unit,value,comment,main_id,facility_group_id,company_id,source_id,site_id
GHG-10276-2023-3,2023,Air,124-38-9,Emission,Industrial Processes,tonnes,3119850.0,,ON-MAIN-b2e5c9bb,,CMP-75ff8886,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,ON-MAIN-b2e5c9bb
GHG-10276-2023-4,2023,Air,124-38-9,Emission,On-site Transportation,tonnes,12978.086,,ON-MAIN-b2e5c9bb,,CMP-75ff8886,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,ON-MAIN-b2e5c9bb
GHG-10289-2023-1,2023,Air,124-38-9,Emission,Leakage / Fuites,tonnes,0.0,,BC-MAIN-3bb6b7cd,,CMP-06e20c6e,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,BC-MAIN-3bb6b7cd
GHG-10289-2023-2,2023,Air,124-38-9,Emission,Stationary Fuel Combustion,tonnes,294161.1365,,BC-MAIN-3bb6b7cd,,CMP-06e20c6e,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,BC-MAIN-3bb6b7cd
GHG-10289-2023-3,2023,Air,124-38-9,Emission,Industrial Processes,tonnes,73809.7326,,BC-MAIN-3bb6b7cd,,CMP-06e20c6e,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,BC-MAIN-3bb6b7cd
GHG-10289-2023-4,2023,Air,124-38-9,Emission,On-site Transportation,tonnes,2376.3958,,BC-MAIN-3bb6b7cd,,CMP-06e20c6e,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,BC-MAIN-3bb6b7cd
GHG-10300-2023-1,2023,Air,124-38-9,Emission,Stationary Fuel Combustion,tonnes,33366.0,,QC-MAIN-eac5a52b,,CMP-140e111b,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,QC-MAIN-eac5a52b
GHG-10300-2023-2,2023,Air,124-38-9,Emission,Industrial Processes,tonnes,466653.0,,QC-MAIN-eac5a52b,,CMP-140e111b,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,QC-MAIN-eac5a52b
GHG-10300-2023-3,2023,Air,124-38-9,Emission,On-site Transportation,tonnes,1502.0,,QC-MAIN-eac5a52b,,CMP-140e111b,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,QC-MAIN-eac5a52b
GHG-10350-2023-1,2023,Air,124-38-9,Emission,Stationary Fuel Combustion,tonnes,76214.5865,,NL-MAIN-b64bae7a,,CMP-8a99044e,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,NL-MAIN-b64bae7a
GHG-10350-2023-2,2023,Air,124-38-9,Emission,Industrial Processes,tonnes,1718.3632,,NL-MAIN-b64bae7a,,CMP-8a99044e,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,NL-MAIN-b64bae7a
GHG-10350-2023-3,2023,Air,124-38-9,Emission,On-site Transportation,tonnes,30804.5179,,NL-MAIN-b64bae7a,,CMP-8a99044e,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,NL-MAIN-b64bae7a
GHG-10385-2023-1,2023,Air,124-38-9,Emission,Stationary Fuel Combustion,tonnes,16582.3091,,BC-MAIN-bf503b6b,,CMP-06e20c6e,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,BC-MAIN-bf503b6b
GHG-10385-2023-2,2023,Air,124-38-9,Emission,On-site Transportation,tonnes,160943.741,,BC-MAIN-bf503b6b,,CMP-06e20c6e,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,BC-MAIN-bf503b6b
GHG-10420-2023-1,2023,Air,124-38-9,Emission,Stationary Fuel Combustion,tonnes,56312.83779,,AB-MAIN-9fed34a8,,CMP-c6e8351c,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,AB-MAIN-9fed34a8
GHG-10420-2023-2,2023,Air,124-38-9,Emission,Industrial Processes,tonnes,22136.39353,,AB-MAIN-9fed34a8,,CMP-c6e8351c,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,AB-MAIN-9fed34a8
GHG-10420-2023-3,2023,Air,124-38-9,Emission,On-site Transportation,tonnes,1960.62025,,AB-MAIN-9fed34a8,,CMP-c6e8351c,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,AB-MAIN-9fed34a8
GHG-10468-2023-1,2023,Air,124-38-9,Emission,Stationary Fuel Combustion,tonnes,20095.139,,ON-MAIN-fefeaee4,,CMP-4a434d72,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,ON-MAIN-fefeaee4
GHG-10468-2023-2,2023,Air,124-38-9,Emission,Industrial Processes,tonnes,268.354,,ON-MAIN-fefeaee4,,CMP-4a434d72,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,ON-MAIN-fefeaee4
GHG-10468-2023-3,2023,Air,124-38-9,Emission,On-site Transportation,tonnes,16141.0802,,ON-MAIN-fefeaee4,,CMP-4a434d72,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,ON-MAIN-fefeaee4
